postal_code,nuts3_objectid
5575,BE35191054
5576,BE35191013
5580,BE35191114
5590,BE35191030
5600,BE35393056
5620,BE35393022
5621,BE35393022
5630,BE35393010
5640,BE35292087
5641,BE35292087
5644,BE35292087
5646,BE35292087
5650,BE35393088
5651,BE35393088
5660,BE35393014
5670,BE35393090
5680,BE35393018
6000,BE32B52011
6001,BE32B52011
6010,BE32B52011
6020,BE32B52011
6030,BE32B52011
6031,BE32B52011
6032,BE32B52011
6040,BE32B52011
6041,BE32B52011
6042,BE32B52011
6043,BE32B52011
6044,BE32B52011
6060,BE32B52011
6061,BE32B52011
6110,BE32B52048
6111,BE32B52048
6120,BE32D56086
6140,BE32B52022
6141,BE32B52022
6142,BE32B52022
6150,BE32D56001
6180,BE32B52015
6181,BE32B52015
6182,BE32B52015
6183,BE32B52015
6200,BE32B52012
6210,BE32B52075
6211,BE32B52075
6220,BE32B52021
6221,BE32B52021
6222,BE32B52021
6223,BE32B52021
6224,BE32B52021
6230,BE32B52055
6238,BE32B52055
6240,BE32B52018
6250,BE32B52074
6280,BE32B52025
6440,BE32D56029
6441,BE32D56029
6460,BE32D56016
6461,BE32D56016
6462,BE32D56016
6463,BE32D56016
6464,BE32D56016
6470,BE32D56088
6500,BE32D56005
6511,BE32D56005
6530,BE32D56078
6531,BE32D56078
6532,BE32D56078
6533,BE32D56078
6534,BE32D56078
6536,BE32D56078
6540,BE32D56044
6542,BE32D56044
6543,BE32D56044
6560,BE32D56022
6567,BE32D56049
6590,BE32D56051
6591,BE32D56051
6592,BE32D56051
6593,BE32D56051
6594,BE32D56051
6596,BE32D56051
6600,BE34282003
6630,BE34181013
6637,BE34282009
6640,BE34282036
6642,BE34282036
6660,BE34282014
6661,BE34282014
6662,BE34282014
6663,BE34282014
6666,BE34282014
6670,BE34282037
6671,BE34282037
6672,BE34282037
6673,BE34282037
6674,BE34282037
6680,BE34282038
6681,BE34282038
6686,BE34282005
6687,BE34282005
6688,BE34282005
6690,BE34282032
6692,BE34282032
6698,BE34282032
6700,BE34181001
6704,BE34181001
6706,BE34181001
6717,BE34181003
6720,BE34585046
6721,BE34585046
6723,BE34585046
6724,BE34585046
6730,BE34585039
6740,BE34585009
6741,BE34585009
6742,BE34585009
6743,BE34585009
6747,BE34585034
6750,BE34585026
6760,BE34585045
6761,BE34585045
6762,BE34585045
6767,BE34585047
6769,BE34585024
6780,BE34181015
6781,BE34181015
6782,BE34181015
6790,BE34181004
6791,BE34181004
6792,BE34181004
6800,BE34484077
6810,BE34585007
6811,BE34585007
6812,BE34585007
6813,BE34585007
6820,BE34585011
6821,BE34585011
6823,BE34585011
6824,BE34585011
6830,BE34484010
6831,BE34484010
6832,BE34484010
6833,BE34484010
6834,BE34484010
6836,BE34484010
6838,BE34484010
6840,BE34484043
6850,BE34484050
6851,BE34484050
6852,BE34484050
6853,BE34484050
6856,BE34484050
6860,BE34484033
6870,BE34484059
6880,BE34484009
6887,BE34484029
6890,BE34484035
6900,BE34383034
6920,BE34484075
6921,BE34484075
6922,BE34484075
6924,BE34484075
6927,BE34484068
6929,BE34484016
6940,BE34383012
6941,BE34383012
6950,BE34383040
6951,BE34383040
6952,BE34383040
6953,BE34383040
6960,BE34383055
6970,BE34383049
6971,BE34383049
6972,BE34383049
6980,BE34383031
6982,BE34383031
6983,BE34383031
6984,BE34383031
6986,BE34383031
6987,BE34383044
6990,BE34383028
6997,BE34383013
7000,BE32353053
7011,BE32353053
7012,BE32353053
7020,BE32353053
7021,BE32353053
7022,BE32353053
7024,BE32353053
7030,BE32353053
7031,BE32353053
7032,BE32353053
7033,BE32353053
7034,BE32353053
7040,BE32353084
7041,BE32353084
7050,BE32353044
7060,BE32C55040
7061,BE32C55040
7062,BE32C55040
7063,BE32C55040
7070,BE32C55035
7080,BE32353028
7090,BE32C55004
7100,BE32955022
7110,BE32955022
7120,BE32956085
7130,BE32956011
7131,BE32956011
7133,BE32956011
7134,BE32956011
7140,BE32956087
7141,BE32956087
7160,BE32B52010
7170,BE32C52043
7180,BE32C52063
7181,BE32C52063
7190,BE32C55050
7191,BE32C55050
7300,BE32353014
7301,BE32353014
7320,BE32A51009
7321,BE32A51009
7322,BE32A51009
7330,BE32353070
7331,BE32353070
7332,BE32353070
7333,BE32353070
7334,BE32353070
7340,BE32353082
7350,BE32353039
7370,BE32353020
7380,BE32353068
7382,BE32353068
7387,BE32353083
7390,BE32353065
7500,BE32857081
7501,BE32857081
7502,BE32857081
7503,BE32857081
7504,BE32857081
7506,BE32857081
7520,BE32857081
7521,BE32857081
7522,BE32857081
7530,BE32857081
7531,BE32857081
7532,BE32857081
7533,BE32857081
7534,BE32857081
7536,BE32857081
7538,BE32857081
7540,BE32857081
7542,BE32857081
7543,BE32857081
7548,BE32857081
7600,BE32857064
7601,BE32857064
7602,BE32857064
7603,BE32857064
7604,BE32857064
7608,BE32857064
7610,BE32857072
7611,BE32857072
7618,BE32857072
7620,BE32857093
7621,BE32857093
7622,BE32857093
7623,BE32857093
7624,BE32857093
7640,BE32857003
